pass,resort,link,short-name
mountain-collective,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort,alta-ski-area
mountain-collective,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort,aspen-snowmass
mountain-collective,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort,big-sky-resort
mountain-collective,Coronet Peak,https://www.onthesnow.com/new-zealand/coronet-peak/ski-resort,coronet-peak
mountain-collective,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort,jackson-hole
mountain-collective,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort,lake-louise
mountain-collective,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort,mammoth-mountain-ski-area
mountain-collective,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort,squaw-valley-usa
mountain-collective,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort,revelstoke-mountain
mountain-collective,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin
mountain-collective,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort,snowbird
mountain-collective,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort,sugarbush
mountain-collective,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley
mountain-collective,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort,sunshine-village
mountain-collective,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort,taos-ski-valley
mountain-collective,The Remarkables,https://www.onthesnow.com/new-zealand/the-remarkables/ski-resort,the-remarkables
mountain-collective,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort,thredbo-alpine-resort
mountain-collective,Valle Nevado,https://www.onthesnow.com/chile/valle-nevado/ski-resort,valle-nevado
epic-pass,Afton Alps,https://www.onthesnow.com/minnesota/afton-alps/ski-resort,afton-alps
epic-pass,Alpe Cimbra - Folgaria - Lavarone,https://www.onthesnow.co.uk/trentino/folgaria/ski-resort,folgaria
epic-pass,Andalo - Fai della Paganella,https://www.onthesnow.co.uk/trentino/andalo-fai-della-paganella/ski-resort,andalo-fai-della-paganella
epic-pass,Beaver Creek,https://www.onthesnow.com/colorado/beaver-creek/ski-resort,beaver-creek
epic-pass,Breckenridge,https://www.onthesnow.com/colorado/breckenridge/ski-resort,breckenridge
epic-pass,Brides les Bains,https://www.onthesnow.co.uk/northern-alps/brides-les-bains/ski-resort,brides-les-bains
epic-pass,Courchevel,https://www.onthesnow.co.uk/northern-alps/courchevel/ski-resort,courchevel
epic-pass,Crested Butte Mountain Resort,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort,crested-butte-mountain-resort
epic-pass,Falls Creek Alpine Resort,https://www.onthesnow.com/australia/falls-creek-alpine-resort/ski-resort,falls-creek-alpine-resort
epic-pass,Fernie Alpine,https://www.onthesnow.com/british-columbia/fernie-alpine/ski-resort,fernie-alpine
epic-pass,Folgàrida - Marilléva,https://www.onthesnow.co.uk/trentino/folgarida-marilleva/ski-resort,folgarida-marilleva
epic-pass,Heavenly,https://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort,heavenly-mountain-resort
epic-pass,Keystone,https://www.onthesnow.com/colorado/keystone/ski-resort,keystone
epic-pass,Kicking Horse,https://www.onthesnow.com/british-columbia/kicking-horse/ski-resort,kicking-horse
epic-pass,Kimberley,https://www.onthesnow.com/british-columbia/kimberley/ski-resort,kimberley
epic-pass,Kirkwood,https://www.onthesnow.com/california/kirkwood/ski-resort,kirkwood
epic-pass,La Tania,https://www.onthesnow.co.uk/northern-alps/la-tania/ski-resort,la-tania
epic-pass,Les Menuires,https://www.onthesnow.co.uk/northern-alps/les-menuires/ski-resort,les-menuires
epic-pass,Madonna di Campiglio,https://www.onthesnow.co.uk/trentino/madonna-di-campiglio/ski-resort,madonna-di-campiglio
epic-pass,Meribel,https://www.onthesnow.co.uk/northern-alps/meribel/ski-resort,meribel
epic-pass,Mont Sainte Anne,https://www.onthesnow.com/quebec/mont-sainte-anne/ski-resort,mont-sainte-anne
epic-pass,Monte Bondone,https://www.onthesnow.co.uk/trentino/monte-bondone/ski-resort,monte-bondone
epic-pass,Mount Sunapee,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort,mount-sunapee
epic-pass,Mt. Brighton,https://www.onthesnow.com/michigan/mount-brighton/ski-resort,mount-brighton
epic-pass,Mt. Hotham,https://www.onthesnow.com/australia/mt-hotham/ski-resort,mt-hotham
epic-pass,Nakiska Ski Area,https://www.onthesnow.com/alberta/nakiska-ski-area/ski-resort,nakiska-ski-area
epic-pass,Nendaz,https://www.onthesnow.co.uk/valais/nendaz/ski-resort,nendaz
epic-pass,Northstar California,https://www.onthesnow.com/california/northstar-california/ski-resort,northstar-california
epic-pass,Okemo Mountain Resort,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort,okemo-mountain-resort
epic-pass,Orelle,https://www.onthesnow.co.uk/northern-alps/orelle/ski-resort,orelle
epic-pass,Park City,https://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort,park-city-mountain-resort
epic-pass,Pejo,https://www.onthesnow.co.uk/trentino/pejo/ski-resort,pejo
epic-pass,Perisher,https://www.onthesnow.com/australia/perisher/ski-resort,perisher
epic-pass,Pinzolo,https://www.onthesnow.co.uk/trentino/pinzolo/ski-resort,pinzolo
epic-pass,Pontedilegno - Tonale,https://www.onthesnow.co.uk/trentino/pontedilegno-tonale-adamello-ski/ski-resort,pontedilegno-tonale-adamello-ski
epic-pass,Saint Martin de Belleville,https://www.onthesnow.co.uk/northern-alps/saint-martin-de-belleville/ski-resort,saint-martin-de-belleville
epic-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin
epic-pass,Stevens Pass Resort,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort,stevens-pass-resort
epic-pass,Stoneham,https://www.onthesnow.com/quebec/stoneham/ski-resort,stoneham
epic-pass,Stowe Mountain,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort,stowe-mountain-resort
epic-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley
epic-pass,Telluride,https://www.onthesnow.com/colorado/telluride/ski-resort,telluride
epic-pass,Thyon 2000,https://www.onthesnow.co.uk/valais/thyon-2000/ski-resort,thyon-2000
epic-pass,Vail,https://www.onthesnow.com/colorado/vail/ski-resort,vail
epic-pass,Val Thorens,https://www.onthesnow.co.uk/northern-alps/val-thorens/ski-resort,val-thorens
epic-pass,Verbier,https://www.onthesnow.co.uk/valais/verbier/ski-resort,verbier
epic-pass,Veysonnaz,https://www.onthesnow.co.uk/valais/veysonnaz/ski-resort,veysonnaz
epic-pass,Whistler Blackcomb,https://www.onthesnow.com/british-columbia/whistler-blackcomb/ski-resort,whistler-blackcomb
epic-pass,Wilmot Mountain,https://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort,wilmot-mountain
ikon-pass,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort,alta-ski-area
ikon-pass,Arapahoe Basin Ski Area,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort,arapahoe-basin-ski-area
ikon-pass,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort,aspen-snowmass
ikon-pass,Bear Mountain,https://www.onthesnow.com/california/bear-mountain/ski-resort,bear-mountain
ikon-pass,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort,big-sky-resort
ikon-pass,Blue Mountain,https://www.onthesnow.com/ontario/blue-mountain/ski-resort,blue-mountain
ikon-pass,Boyne Mountain Resort,https://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort,boyne-mountain-resort
ikon-pass,Brighton Resort,https://www.onthesnow.com/utah/brighton-resort/ski-resort,brighton-resort
ikon-pass,Copper Mountain,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort,copper-mountain-resort
ikon-pass,Crystal Mountain,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort,crystal-mountain-wa
ikon-pass,Cypress Mountain,https://www.onthesnow.com/british-columbia/cypress-mountain/ski-resort,cypress-mountain
ikon-pass,Deer Valley Resort,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort,deer-valley-resort
ikon-pass,Eldora Mountain Resort,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort,eldora-mountain-resort
ikon-pass,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort,jackson-hole
ikon-pass,June Mountain,https://www.onthesnow.com/california/june-mountain/ski-resort,june-mountain
ikon-pass,Killington Resort,https://www.onthesnow.com/vermont/killington-resort/ski-resort,killington-resort
ikon-pass,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort,lake-louise
ikon-pass,Loon Mountain,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort,loon-mountain
ikon-pass,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort,mammoth-mountain-ski-area
ikon-pass,Mt. Bachelor,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort,mt-bachelor
ikon-pass,Mt. Buller,https://www.onthesnow.com/australia/mt-buller/ski-resort,mt-buller
ikon-pass,Mt. Norquay,https://www.onthesnow.com/alberta/ski-banff-norquay/ski-resort,ski-banff-norquay
ikon-pass,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort,squaw-valley-usa
ikon-pass,Panorama Mountain,https://www.onthesnow.com/british-columbia/panorama-mountain/ski-resort,panorama-mountain
ikon-pass,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort,revelstoke-mountain
ikon-pass,Snow Summit,https://www.onthesnow.com/california/snow-summit/ski-resort,snow-summit
ikon-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin
ikon-pass,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort,snowbird
ikon-pass,Snowshoe Mountain,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort,snowshoe-mountain-resort
ikon-pass,Solitude Mountain Resort,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort,solitude-mountain-resort
ikon-pass,Steamboat,https://www.onthesnow.com/colorado/steamboat/ski-resort,steamboat
ikon-pass,Stratton Mountain,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort,stratton-mountain
ikon-pass,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort,sugarbush
ikon-pass,Sugarloaf,https://www.onthesnow.com/maine/sugarloaf/ski-resort,sugarloaf
ikon-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley
ikon-pass,Sunday River,https://www.onthesnow.com/maine/sunday-river/ski-resort,sunday-river
ikon-pass,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort,sunshine-village
ikon-pass,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort,taos-ski-valley
ikon-pass,The Highlands,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort,boyne-highlands
ikon-pass,The Summit at Snoqualmie,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort,the-summit-at-snoqualmie
ikon-pass,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort,thredbo-alpine-resort
ikon-pass,Tremblant,https://www.onthesnow.com/quebec/tremblant/ski-resort,tremblant
ikon-pass,Windham Mountain,https://www.onthesnow.com/new-york/windham-mountain/ski-resort,windham-mountain
ikon-pass,Winter Park,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort,winter-park-resort
