short-name,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,pass,resort,link
alta-ski-area,30.48,208.28,193.04,185.42000000000002,160.02,93.98,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort
alta-ski-area,30.48,208.28,193.04,185.42000000000002,160.02,93.98,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort
aspen-snowmass,55.88,165.1,134.62,152.4,167.64000000000001,81.28,0.762,0.0,0.0,0.0,0.0,0.0,mountain-collective,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort
aspen-snowmass,55.88,165.1,134.62,152.4,167.64000000000001,81.28,0.762,0.0,0.0,0.0,0.0,0.0,ikon-pass,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort
big-sky-resort,38.1,157.48,121.92,147.32,142.24,86.36,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort
big-sky-resort,38.1,157.48,121.92,147.32,142.24,86.36,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort
jackson-hole,53.34,271.78000000000003,251.46,284.48,167.64000000000001,33.02,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort
jackson-hole,53.34,271.78000000000003,251.46,284.48,167.64000000000001,33.02,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort
lake-louise,93.98,99.06,88.9,88.9,93.98,73.66,12.7,0.0,0.0,0.0,0.0,0.0,mountain-collective,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort
lake-louise,93.98,99.06,88.9,88.9,93.98,73.66,12.7,0.0,0.0,0.0,0.0,0.0,ikon-pass,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort
mammoth-mountain-ski-area,76.2,177.8,167.64000000000001,139.7,129.54,66.04,20.32,0.508,0.0,0.0,0.0,0.0,mountain-collective,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort
mammoth-mountain-ski-area,76.2,177.8,167.64000000000001,139.7,129.54,66.04,20.32,0.508,0.0,0.0,0.0,0.0,ikon-pass,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort
squaw-valley-usa,78.74,198.12,195.58,200.66,182.88,81.28,12.7,1.016,0.0,0.0,0.0,0.0,mountain-collective,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort
squaw-valley-usa,78.74,198.12,195.58,200.66,182.88,81.28,12.7,1.016,0.0,0.0,0.0,0.0,ikon-pass,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort
revelstoke-mountain,22.86,162.56,142.24,111.76,119.38,45.72,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort
revelstoke-mountain,22.86,162.56,142.24,111.76,119.38,45.72,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort
snowbasin,30.48,170.18,154.94,165.1,109.22,33.02,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort
snowbasin,30.48,170.18,154.94,165.1,109.22,33.02,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort
snowbasin,30.48,170.18,154.94,165.1,109.22,33.02,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort
snowbird,48.26,220.98,228.6,213.36,177.8,154.94,35.56,0.0,0.0,0.0,0.0,0.0,mountain-collective,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort
snowbird,48.26,220.98,228.6,213.36,177.8,154.94,35.56,0.0,0.0,0.0,0.0,0.0,ikon-pass,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort
sugarbush,38.1,137.16,116.84,119.38,111.76,35.56,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort
sugarbush,38.1,137.16,116.84,119.38,111.76,35.56,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort
sun-valley,15.24,139.7,93.98,109.22,60.96,20.32,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort
sun-valley,15.24,139.7,93.98,109.22,60.96,20.32,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort
sun-valley,15.24,139.7,93.98,109.22,60.96,20.32,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort
sunshine-village,101.6,119.38,106.68,109.22,127.0,63.5,20.32,0.0,0.0,0.0,0.0,0.0,mountain-collective,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort
sunshine-village,101.6,119.38,106.68,109.22,127.0,63.5,20.32,0.0,0.0,0.0,0.0,0.0,ikon-pass,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort
taos-ski-valley,38.1,101.6,83.82000000000001,114.3,99.06,17.78,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort
taos-ski-valley,38.1,101.6,83.82000000000001,114.3,99.06,17.78,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort
afton-alps,5.08,33.02,27.94,33.02,15.24,1.27,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Afton Alps,https://www.onthesnow.com/minnesota/afton-alps/ski-resort
folgaria,26.0,35.0,51.0,81.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Alpe Cimbra - Folgaria - Lavarone,https://www.onthesnow.co.uk/trentino/folgaria/ski-resort
andalo-fai-della-paganella,16.0,33.0,53.0,81.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Andalo - Fai della Paganella,https://www.onthesnow.co.uk/trentino/andalo-fai-della-paganella/ski-resort
beaver-creek,50.8,127.0,119.38,121.92,129.54,43.18,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Beaver Creek,https://www.onthesnow.com/colorado/beaver-creek/ski-resort
breckenridge,76.2,152.4,144.78,144.78,152.4,91.44,15.24,0.0,0.0,0.0,0.0,0.0,epic-pass,Breckenridge,https://www.onthesnow.com/colorado/breckenridge/ski-resort
brides-les-bains,5.0,24.0,45.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Brides les Bains,https://www.onthesnow.co.uk/northern-alps/brides-les-bains/ski-resort
courchevel,33.0,77.0,93.0,67.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Courchevel,https://www.onthesnow.co.uk/northern-alps/courchevel/ski-resort
crested-butte-mountain-resort,33.02,144.78,114.3,114.3,91.44,12.7,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Crested Butte Mountain Resort,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort
fernie-alpine,10.16,182.88,170.18,139.7,157.48,43.18,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Fernie Alpine,https://www.onthesnow.com/british-columbia/fernie-alpine/ski-resort
folgarida-marilleva,7.0,24.0,48.0,78.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Folgàrida - Marilléva,https://www.onthesnow.co.uk/trentino/folgarida-marilleva/ski-resort
heavenly-mountain-resort,40.64,175.26,154.94,170.18,119.38,38.1,5.08,0.0,0.0,0.0,0.0,0.0,epic-pass,Heavenly,https://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort
keystone,73.66,106.68,104.14,99.06,129.54,38.1,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Keystone,https://www.onthesnow.com/colorado/keystone/ski-resort
kicking-horse,43.18,119.38,109.22,86.36,114.3,35.56,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Kicking Horse,https://www.onthesnow.com/british-columbia/kicking-horse/ski-resort
kimberley,10.16,76.2,78.74,76.2,66.04,10.16,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Kimberley,https://www.onthesnow.com/british-columbia/kimberley/ski-resort
kirkwood,53.34,193.04,185.42000000000002,193.04,172.72,66.04,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Kirkwood,https://www.onthesnow.com/california/kirkwood/ski-resort
la-tania,14.0,50.0,53.0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,La Tania,https://www.onthesnow.co.uk/northern-alps/la-tania/ski-resort
les-menuires,37.0,84.0,82.0,66.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Les Menuires,https://www.onthesnow.co.uk/northern-alps/les-menuires/ski-resort
madonna-di-campiglio,70.0,49.0,53.0,79.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Madonna di Campiglio,https://www.onthesnow.co.uk/trentino/madonna-di-campiglio/ski-resort
meribel,29.0,80.0,75.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Meribel,https://www.onthesnow.co.uk/northern-alps/meribel/ski-resort
mont-sainte-anne,5.08,99.06,109.22,104.14,96.52,33.02,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Mont Sainte Anne,https://www.onthesnow.com/quebec/mont-sainte-anne/ski-resort
monte-bondone,1.7,21.0,14.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Monte Bondone,https://www.onthesnow.co.uk/trentino/monte-bondone/ski-resort
mount-sunapee,5.08,58.42,50.8,81.28,43.18,7.62,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Mount Sunapee,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort
mount-brighton,1.7779999999999998,17.78,30.48,40.64,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Mt. Brighton,https://www.onthesnow.com/michigan/mount-brighton/ski-resort
nakiska-ski-area,48.26,48.26,38.1,48.26,58.42,38.1,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Nakiska Ski Area,https://www.onthesnow.com/alberta/nakiska-ski-area/ski-resort
nendaz,7.0,73.0,74.0,55.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Nendaz,https://www.onthesnow.co.uk/valais/nendaz/ski-resort
northstar-california,55.88,198.12,185.42000000000002,185.42000000000002,157.48,38.1,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Northstar California,https://www.onthesnow.com/california/northstar-california/ski-resort
okemo-mountain-resort,20.32,68.58,63.5,86.36,55.88,10.16,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Okemo Mountain Resort,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort
orelle,7.0,90.0,92.0,75.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Orelle,https://www.onthesnow.co.uk/northern-alps/orelle/ski-resort
park-city-mountain-resort,40.64,157.48,144.78,139.7,111.76,27.94,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Park City,https://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort
pejo,6.0,21.0,49.0,46.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Pejo,https://www.onthesnow.co.uk/trentino/pejo/ski-resort
pinzolo,7.0,27.0,29.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Pinzolo,https://www.onthesnow.co.uk/trentino/pinzolo/ski-resort
pontedilegno-tonale-adamello-ski,32.0,30.0,34.0,72.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Pontedilegno - Tonale,https://www.onthesnow.co.uk/trentino/pontedilegno-tonale-adamello-ski/ski-resort
saint-martin-de-belleville,13.0,67.0,72.0,64.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Saint Martin de Belleville,https://www.onthesnow.co.uk/northern-alps/saint-martin-de-belleville/ski-resort
stevens-pass-resort,35.56,243.84,208.28,220.98,121.92,55.88,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Stevens Pass Resort,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort
stoneham,1.7779999999999998,86.36,116.84,96.52,50.8,7.62,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Stoneham,https://www.onthesnow.com/quebec/stoneham/ski-resort
stowe-mountain-resort,33.02,111.76,129.54,144.78,119.38,35.56,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Stowe Mountain,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort
telluride,43.18,132.08,114.3,134.62,127.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Telluride,https://www.onthesnow.com/colorado/telluride/ski-resort
thyon-2000,5.0,38.0,71.0,55.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Thyon 2000,https://www.onthesnow.co.uk/valais/thyon-2000/ski-resort
vail,60.96,142.24,127.0,124.46000000000001,114.3,60.96,0.762,0.0,0.0,0.0,0.0,0.0,epic-pass,Vail,https://www.onthesnow.com/colorado/vail/ski-resort
val-thorens,77.0,126.0,145.0,115.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Val Thorens,https://www.onthesnow.co.uk/northern-alps/val-thorens/ski-resort
verbier,33.0,115.0,111.0,93.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Verbier,https://www.onthesnow.co.uk/valais/verbier/ski-resort
veysonnaz,9.0,55.0,73.0,55.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Veysonnaz,https://www.onthesnow.co.uk/valais/veysonnaz/ski-resort
whistler-blackcomb,101.6,195.58,210.82,116.84,157.48,71.12,15.24,0.0,0.0,0.0,0.0,0.0,epic-pass,Whistler Blackcomb,https://www.onthesnow.com/british-columbia/whistler-blackcomb/ski-resort
wilmot-mountain,0.254,10.16,27.94,22.86,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epic-pass,Wilmot Mountain,https://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort
arapahoe-basin-ski-area,86.36,109.22,109.22,114.3,114.3,101.6,86.36,2.54,0.0,0.0,0.0,0.0,ikon-pass,Arapahoe Basin Ski Area,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort
bear-mountain,12.7,45.72,73.66,58.42,40.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Bear Mountain,https://www.onthesnow.com/california/bear-mountain/ski-resort
blue-mountain,0.508,48.26,78.74,71.12,30.48,10.16,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Blue Mountain,https://www.onthesnow.com/ontario/blue-mountain/ski-resort
boyne-mountain-resort,10.16,73.66,101.6,73.66,35.56,20.32,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Boyne Mountain Resort,https://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort
brighton-resort,50.8,205.74,223.52,200.66,167.64000000000001,86.36,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Brighton Resort,https://www.onthesnow.com/utah/brighton-resort/ski-resort
copper-mountain-resort,66.04,119.38,116.84,114.3,127.0,71.12,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Copper Mountain,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort
crystal-mountain-wa,58.42,284.48,233.68,218.44,154.94,106.68,12.7,0.0,0.0,0.0,0.0,0.0,ikon-pass,Crystal Mountain,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort
cypress-mountain,22.86,177.8,134.62,121.92,132.08,33.02,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Cypress Mountain,https://www.onthesnow.com/british-columbia/cypress-mountain/ski-resort
deer-valley-resort,10.16,139.7,154.94,139.7,106.68,30.48,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Deer Valley Resort,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort
eldora-mountain-resort,33.02,104.14,99.06,124.46000000000001,104.14,43.18,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Eldora Mountain Resort,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort
june-mountain,0.0,50.8,154.94,142.24,96.52,12.7,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,June Mountain,https://www.onthesnow.com/california/june-mountain/ski-resort
killington-resort,43.18,93.98,93.98,114.3,73.66,25.4,0.508,0.0,0.0,0.0,0.0,0.0,ikon-pass,Killington Resort,https://www.onthesnow.com/vermont/killington-resort/ski-resort
loon-mountain,20.32,81.28,76.2,93.98,58.42,22.86,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Loon Mountain,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort
mt-bachelor,50.8,266.7,200.66,220.98,157.48,99.06,25.4,0.0,0.0,0.0,0.0,0.0,ikon-pass,Mt. Bachelor,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort
ski-banff-norquay,35.56,50.8,50.8,50.8,53.34,25.4,0.508,0.0,0.0,0.0,0.0,0.0,ikon-pass,Mt. Norquay,https://www.onthesnow.com/alberta/ski-banff-norquay/ski-resort
panorama-mountain,10.16,81.28,104.14,109.22,119.38,25.4,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Panorama Mountain,https://www.onthesnow.com/british-columbia/panorama-mountain/ski-resort
snow-summit,15.24,55.88,73.66,53.34,40.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Snow Summit,https://www.onthesnow.com/california/snow-summit/ski-resort
snowshoe-mountain-resort,12.7,48.26,86.36,78.74,66.04,0.508,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Snowshoe Mountain,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort
solitude-mountain-resort,43.18,182.88,193.04,205.74,162.56,58.42,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Solitude Mountain Resort,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort
steamboat,30.48,198.12,160.02,160.02,111.76,35.56,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Steamboat,https://www.onthesnow.com/colorado/steamboat/ski-resort
stratton-mountain,10.16,81.28,66.04,101.6,48.26,5.08,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Stratton Mountain,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort
sugarloaf,27.94,81.28,68.58,99.06,58.42,30.48,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Sugarloaf,https://www.onthesnow.com/maine/sugarloaf/ski-resort
sunday-river,22.86,71.12,63.5,93.98,45.72,15.24,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Sunday River,https://www.onthesnow.com/maine/sunday-river/ski-resort
boyne-highlands,10.16,76.2,119.38,76.2,27.94,1.27,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,The Highlands,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort
the-summit-at-snoqualmie,12.7,180.34,165.1,162.56,88.9,35.56,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,The Summit at Snoqualmie,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort
tremblant,12.7,96.52,119.38,121.92,73.66,17.78,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Tremblant,https://www.onthesnow.com/quebec/tremblant/ski-resort
windham-mountain,10.16,50.8,50.8,76.2,45.72,0.762,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Windham Mountain,https://www.onthesnow.com/new-york/windham-mountain/ski-resort
winter-park-resort,86.36,162.56,139.7,142.24,139.7,104.14,17.78,0.0,0.0,0.0,0.0,0.0,ikon-pass,Winter Park,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort
coronet-peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,33.02,15.24,22.86,0.762,mountain-collective,Coronet Peak,https://www.onthesnow.com/new-zealand/coronet-peak/ski-resort
the-remarkables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,48.26,38.1,38.1,10.16,mountain-collective,The Remarkables,https://www.onthesnow.com/new-zealand/the-remarkables/ski-resort
thredbo-alpine-resort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,68.58,86.36,27.94,0.0,mountain-collective,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort
thredbo-alpine-resort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,68.58,86.36,27.94,0.0,ikon-pass,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort
valle-nevado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,33.02,33.02,15.24,1.7779999999999998,mountain-collective,Valle Nevado,https://www.onthesnow.com/chile/valle-nevado/ski-resort
falls-creek-alpine-resort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,53.34,48.26,15.24,1.27,epic-pass,Falls Creek Alpine Resort,https://www.onthesnow.com/australia/falls-creek-alpine-resort/ski-resort
mt-hotham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,50.8,53.34,20.32,1.016,epic-pass,Mt. Hotham,https://www.onthesnow.com/australia/mt-hotham/ski-resort
perisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26,66.04,50.8,35.56,1.016,epic-pass,Perisher,https://www.onthesnow.com/australia/perisher/ski-resort
mt-buller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,38.1,48.26,17.78,1.27,ikon-pass,Mt. Buller,https://www.onthesnow.com/australia/mt-buller/ski-resort
